zip5,county,county_fips,metro,cd_2026_map,cd_share,cd_seed_2024_map,state_senate,state_house,changed
33024,Broward,12011,fort_lauderdale,FL-26,0.58,FL-25,SD-35,HD-105|HD-104|HD-101|HD-102,yes
33024,Broward,12011,fort_lauderdale,FL-24,0.419,FL-25,SD-35,HD-105|HD-104|HD-101|HD-102,yes
33025,Broward,12011,fort_lauderdale,FL-26,0.534,FL-24|FL-25,SD-35,HD-104|HD-105,yes
33025,Broward,12011,fort_lauderdale,FL-24,0.466,FL-24|FL-25,SD-35,HD-104|HD-105,yes
33026,Broward,12011,fort_lauderdale,FL-26,1.0,FL-25,SD-35,HD-102|HD-104,yes
33027,Broward,12011,fort_lauderdale,FL-26,1.0,FL-25,SD-35,HD-104|HD-103,yes
33028,Broward,12011,fort_lauderdale,FL-26,1.0,FL-25,SD-35,HD-103|HD-104|HD-102,yes
33029,Broward,12011,fort_lauderdale,FL-26,1.0,FL-25,SD-35,HD-103,yes
33030,Miami-Dade,12086,miami,FL-28,1.0,FL-28,SD-40|SD-38,HD-120,no
33031,Miami-Dade,12086,miami,FL-28,1.0,FL-28,SD-40|SD-38,HD-120,no
33032,Miami-Dade,12086,miami,FL-28,0.978,FL-28,SD-38,HD-120|HD-117,no
33033,Miami-Dade,12086,miami,FL-28,1.0,FL-28,SD-40|SD-38,HD-120|HD-117,no
33034,Miami-Dade,12086,miami,FL-28,1.0,FL-28,SD-40,HD-120,no
33035,Miami-Dade,12086,miami,FL-28,1.0,FL-28,SD-40,HD-120|HD-117,no
33039,Miami-Dade,12086,miami,FL-28,1.0,FL-28,SD-38,HD-120,no
33054,Miami-Dade,12086,miami,FL-24,1.0,FL-24,SD-34,HD-109|HD-107,no
33055,Miami-Dade,12086,miami,FL-24,0.5,FL-24|FL-26,SD-34|SD-39,HD-104|HD-110|HD-107,no
33055,Miami-Dade,12086,miami,FL-26,0.5,FL-24|FL-26,SD-34|SD-39,HD-104|HD-110|HD-107,no
33056,Miami-Dade,12086,miami,FL-24,1.0,FL-24,SD-34,HD-104|HD-107,no
33060,Broward,12011,fort_lauderdale,FL-25,0.689,FL-20|FL-23,SD-37|SD-30,HD-100|HD-98,yes
